Exp,PopulationSize,CrossoverRate,MutationRate,SelectionPressure,MaxGenerations,BestFitness,ExecutionTimeMs,ComponentCount,MaxComponentCount,MinComponentCount,GenerationResults
1,20,0.1,0.1,2,50,4.61344530085361,2395,2,11,8,"4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613"
1,20,0.1,0.1,2,50,4.61344530085361,2363,2,11,8,"4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613"
1,20,0.1,0.1,2,50,4.61344530085361,2403,2,11,8,"4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613"
1,20,0.1,0.1,2,50,4.61344530085361,2403,2,11,8,"4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613"
1,20,0.1,0.1,2,50,4.61344530085361,2389,2,11,8,"4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613"
1,20,0.1,0.1,2,50,4.61344530085361,2415,2,11,8,"4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613"
1,20,0.1,0.1,2,50,4.61344530085361,2411,2,11,8,"4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613"
1,20,0.1,0.1,2,50,4.61344530085361,2424,2,11,8,"4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613"
1,20,0.1,0.1,2,50,4.61344530085361,578,2,11,8,"4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613&4,613445300853613"
1,20,0.1,0.1,2,50,11.8949718045113,616,3,14,2,"10,287987895705665&12,622389874141874&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275&11,894971804511275"
